contig	coord	value	param
bgl_Shen2021	0	0.0	A_tract
bgl_Shen2021	1	0.0	A_tract
bgl_Shen2021	2	0.0	A_tract
bgl_Shen2021	3	0.0	A_tract
bgl_Shen2021	4	0.0	A_tract
bgl_Shen2021	5	0.0	A_tract
bgl_Shen2021	6	0.0	A_tract
bgl_Shen2021	7	0.0	A_tract
bgl_Shen2021	8	0.0	A_tract
bgl_Shen2021	9	0.0	A_tract
bgl_Shen2021	10	0.0	A_tract
bgl_Shen2021	11	0.0	A_tract
bgl_Shen2021	12	0.0	A_tract
bgl_Shen2021	13	1.0	A_tract
bgl_Shen2021	14	1.0	A_tract
bgl_Shen2021	15	1.0	A_tract
bgl_Shen2021	16	1.0	A_tract
bgl_Shen2021	17	0.0	A_tract
bgl_Shen2021	18	0.0	A_tract
bgl_Shen2021	19	0.0	A_tract
bgl_Shen2021	20	0.0	A_tract
bgl_Shen2021	21	0.0	A_tract
bgl_Shen2021	22	0.0	A_tract
bgl_Shen2021	23	1.0	A_tract
bgl_Shen2021	24	1.0	A_tract
bgl_Shen2021	25	1.0	A_tract
bgl_Shen2021	26	1.0	A_tract
bgl_Shen2021	27	0.0	A_tract
bgl_Shen2021	28	0.0	A_tract
bgl_Shen2021	29	0.0	A_tract
bgl_Shen2021	30	0.0	A_tract
bgl_Shen2021	31	0.0	A_tract
bgl_Shen2021	32	0.0	A_tract
bgl_Shen2021	33	0.0	A_tract
bgl_Shen2021	34	0.0	A_tract
bgl_Shen2021	35	0.0	A_tract
bgl_Shen2021	36	0.0	A_tract
bgl_Shen2021	37	0.0	A_tract
bgl_Shen2021	38	0.0	A_tract
bgl_Shen2021	39	0.0	A_tract
bgl_Shen2021	40	0.0	A_tract
bgl_Shen2021	41	0.0	A_tract
bgl_Shen2021	42	0.0	A_tract
bgl_Shen2021	43	0.0	A_tract
bgl_Shen2021	44	0.0	A_tract
bgl_Shen2021	45	0.0	A_tract
bgl_Shen2021	46	0.0	A_tract
bgl_Shen2021	47	0.0	A_tract
bgl_Shen2021	48	0.0	A_tract
bgl_Shen2021	49	0.0	A_tract
bgl_Shen2021	50	0.0	A_tract
bgl_Shen2021	51	0.0	A_tract
bgl_Shen2021	52	0.0	A_tract
bgl_Shen2021	53	0.0	A_tract
bgl_Shen2021	54	0.0	A_tract
bgl_Shen2021	55	0.0	A_tract
bgl_Shen2021	56	0.0	A_tract
bgl_Shen2021	57	0.0	A_tract
bgl_Shen2021	58	0.0	A_tract
bgl_Shen2021	59	0.0	A_tract
bgl_Shen2021	60	0.0	A_tract
bgl_Shen2021	61	0.0	A_tract
bgl_Shen2021	62	0.0	A_tract
bgl_Shen2021	63	0.0	A_tract
bgl_Shen2021	64	1.0	A_tract
bgl_Shen2021	65	1.0	A_tract
bgl_Shen2021	66	1.0	A_tract
bgl_Shen2021	67	1.0	A_tract
bgl_Shen2021	68	0.0	A_tract
bgl_Shen2021	69	0.0	A_tract
bgl_Shen2021	70	0.0	A_tract
bgl_Shen2021	71	0.0	A_tract
bgl_Shen2021	72	0.0	A_tract
bgl_Shen2021	73	1.0	A_tract
bgl_Shen2021	74	1.0	A_tract
bgl_Shen2021	75	1.0	A_tract
bgl_Shen2021	76	1.0	A_tract
bgl_Shen2021	77	0.0	A_tract
bgl_Shen2021	78	0.0	A_tract
bgl_Shen2021	79	0.0	A_tract
bgl_Shen2021	80	1.0	A_tract
bgl_Shen2021	81	2.0	A_tract
bgl_Shen2021	82	3.0	A_tract
bgl_Shen2021	83	4.0	A_tract
bgl_Shen2021	84	3.0	A_tract
bgl_Shen2021	85	2.0	A_tract
bgl_Shen2021	86	1.0	A_tract
bgl_Shen2021	87	0.0	A_tract
bgl_Shen2021	88	0.0	A_tract
bgl_Shen2021	89	0.0	A_tract
bgl_Shen2021	90	0.0	A_tract
bgl_Shen2021	91	0.0	A_tract
bgl_Shen2021	92	0.0	A_tract
bgl_Shen2021	93	0.0	A_tract
bgl_Shen2021	94	0.0	A_tract
bgl_Shen2021	95	0.0	A_tract
bgl_Shen2021	96	0.0	A_tract
bgl_Shen2021	97	0.0	A_tract
bgl_Shen2021	98	0.0	A_tract
bgl_Shen2021	99	1.0	A_tract
bgl_Shen2021	100	1.0	A_tract
bgl_Shen2021	101	1.0	A_tract
bgl_Shen2021	102	1.0	A_tract
bgl_Shen2021	103	0.0	A_tract
bgl_Shen2021	104	0.0	A_tract
bgl_Shen2021	105	0.0	A_tract
bgl_Shen2021	106	0.0	A_tract
bgl_Shen2021	107	0.0	A_tract
bgl_Shen2021	108	0.0	A_tract
bgl_Shen2021	109	0.0	A_tract
bgl_Shen2021	110	0.0	A_tract
bgl_Shen2021	111	0.0	A_tract
bgl_Shen2021	112	0.0	A_tract
bgl_Shen2021	113	0.0	A_tract
bgl_Shen2021	114	0.0	A_tract
bgl_Shen2021	115	0.0	A_tract
bgl_Shen2021	116	0.0	A_tract
bgl_Shen2021	117	0.0	A_tract
bgl_Shen2021	118	0.0	A_tract
bgl_Shen2021	119	0.0	A_tract
bgl_Shen2021	120	0.0	A_tract
bgl_Shen2021	121	0.0	A_tract
bgl_Shen2021	122	0.0	A_tract
bgl_Shen2021	123	0.0	A_tract
bgl_Shen2021	124	0.0	A_tract
bgl_Shen2021	125	0.0	A_tract
bgl_Shen2021	126	0.0	A_tract
bgl_Shen2021	127	0.0	A_tract
bgl_Shen2021	128	0.0	A_tract
bgl_Shen2021	129	0.0	A_tract
bgl_Shen2021	130	0.0	A_tract
bgl_Shen2021	131	0.0	A_tract
bgl_Shen2021	132	0.0	A_tract
bgl_Shen2021	133	0.0	A_tract
bgl_Shen2021	134	0.0	A_tract
bgl_Shen2021	135	0.0	A_tract
bgl_Shen2021	136	0.0	A_tract
bgl_Shen2021	137	0.0	A_tract
bgl_Shen2021	138	0.0	A_tract
bgl_Shen2021	139	0.0	A_tract
bgl_Shen2021	140	0.0	A_tract
bgl_Shen2021	141	0.0	A_tract
bgl_Shen2021	142	0.0	A_tract
bgl_Shen2021	143	0.0	A_tract
bgl_Shen2021	144	0.0	A_tract
bgl_Shen2021	145	0.0	A_tract
bolA_Moreira2011	0	0.0	A_tract
bolA_Moreira2011	1	0.0	A_tract
bolA_Moreira2011	2	0.0	A_tract
bolA_Moreira2011	3	0.0	A_tract
bolA_Moreira2011	4	0.0	A_tract
bolA_Moreira2011	5	0.0	A_tract
bolA_Moreira2011	6	0.0	A_tract
bolA_Moreira2011	7	1.0	A_tract
bolA_Moreira2011	8	2.0	A_tract
bolA_Moreira2011	9	3.0	A_tract
bolA_Moreira2011	10	4.0	A_tract
bolA_Moreira2011	11	3.0	A_tract
bolA_Moreira2011	12	2.0	A_tract
bolA_Moreira2011	13	1.0	A_tract
bolA_Moreira2011	14	0.0	A_tract
bolA_Moreira2011	15	0.0	A_tract
bolA_Moreira2011	16	0.0	A_tract
bolA_Moreira2011	17	0.0	A_tract
bolA_Moreira2011	18	0.0	A_tract
bolA_Moreira2011	19	0.0	A_tract
bolA_Moreira2011	20	0.0	A_tract
bolA_Moreira2011	21	0.0	A_tract
bolA_Moreira2011	22	0.0	A_tract
bolA_Moreira2011	23	0.0	A_tract
bolA_Moreira2011	24	0.0	A_tract
bolA_Moreira2011	25	0.0	A_tract
bolA_Moreira2011	26	0.0	A_tract
bolA_Moreira2011	27	0.0	A_tract
bolA_Moreira2011	28	0.0	A_tract
bolA_Moreira2011	29	0.0	A_tract
bolA_Moreira2011	30	0.0	A_tract
bolA_Moreira2011	31	0.0	A_tract
bolA_Moreira2011	32	0.0	A_tract
bolA_Moreira2011	33	0.0	A_tract
bolA_Moreira2011	34	0.0	A_tract
bolA_Moreira2011	35	0.0	A_tract
bolA_Moreira2011	36	0.0	A_tract
bolA_Moreira2011	37	0.0	A_tract
bolA_Moreira2011	38	0.0	A_tract
bolA_Moreira2011	39	0.0	A_tract
bolA_Moreira2011	40	0.0	A_tract
bolA_Moreira2011	41	0.0	A_tract
bolA_Moreira2011	42	0.0	A_tract
bolA_Moreira2011	43	0.0	A_tract
bolA_Moreira2011	44	0.0	A_tract
bolA_Moreira2011	45	0.0	A_tract
bolA_Moreira2011	46	0.0	A_tract
bolA_Moreira2011	47	0.0	A_tract
bolA_Moreira2011	48	0.0	A_tract
bolA_Moreira2011	49	0.0	A_tract
bolA_Moreira2011	50	0.0	A_tract
bolA_Moreira2011	51	0.0	A_tract
bolA_Moreira2011	52	0.0	A_tract
bolA_Moreira2011	53	0.0	A_tract
bolA_Moreira2011	54	0.0	A_tract
bolA_Moreira2011	55	0.0	A_tract
bolA_Moreira2011	56	0.0	A_tract
bolA_Moreira2011	57	0.0	A_tract
bolA_Moreira2011	58	0.0	A_tract
bolA_Moreira2011	59	0.0	A_tract
bolA_Moreira2011	60	0.0	A_tract
bolA_Moreira2011	61	0.0	A_tract
bolA_Moreira2011	62	0.0	A_tract
bolA_Moreira2011	63	1.0	A_tract
bolA_Moreira2011	64	2.0	A_tract
bolA_Moreira2011	65	2.0	A_tract
bolA_Moreira2011	66	2.0	A_tract
bolA_Moreira2011	67	1.0	A_tract
bolA_Moreira2011	68	0.0	A_tract
bolA_Moreira2011	69	0.0	A_tract
bolA_Moreira2011	70	0.0	A_tract
